date,lat,lon,t_2m:C,effective_cloud_cover:p,global_rad:W,relative_humidity_2m:p,wind_dir_10m:d,wind_speed_10m:ms,prob_precip_1h:p,t_apparent:C,name
2021-01-01 00:00:00,38.6184,28.6712,7.6,10.5,0.0,86.1,173.3,2.6,1.0,5.9,Manisa-Ahmetli
2021-01-01 01:00:00,38.6184,28.6712,7.4,6.8,0.0,88.0,174.5,2.7,1.0,5.7,Manisa-Ahmetli
2021-01-01 02:00:00,38.6184,28.6712,7.3,4.3,0.0,90.0,177.5,2.8,1.0,5.4,Manisa-Ahmetli
2021-01-01 03:00:00,38.6184,28.6712,7.2,8.9,0.0,90.8,175.3,2.7,1.0,5.3,Manisa-Ahmetli
2021-01-01 04:00:00,38.6184,28.6712,8.0,22.1,0.0,89.7,172.1,2.5,1.0,6.5,Manisa-Ahmetli
2021-01-01 05:00:00,38.6184,28.6712,7.6,14.0,0.0,90.9,169.4,2.3,1.0,6.2,Manisa-Ahmetli
2021-01-01 06:00:00,38.6184,28.6712,7.3,36.4,0.0,91.3,169.2,2.3,1.0,5.8,Manisa-Ahmetli
2021-01-01 07:00:00,38.6184,28.6712,7.5,38.2,0.0,90.1,165.1,2.3,1.0,6.0,Manisa-Ahmetli
2021-01-01 08:00:00,38.6184,28.6712,7.2,31.3,0.0,90.6,163.9,2.1,1.0,5.9,Manisa-Ahmetli
2021-01-01 09:00:00,38.6184,28.6712,7.7,53.2,39.5,88.3,168.7,2.2,1.0,6.7,Manisa-Ahmetli
2021-01-01 10:00:00,38.6184,28.6712,10.1,56.9,141.8,77.6,167.6,2.4,1.0,11.5,Manisa-Ahmetli
2021-01-01 11:00:00,38.6184,28.6712,11.8,51.1,226.5,70.6,174.0,2.6,1.0,13.9,Manisa-Ahmetli
2021-01-01 12:00:00,38.6184,28.6712,12.8,58.7,279.3,66.4,186.2,3.4,1.0,15.1,Manisa-Ahmetli
